season,episode,nepisode,EpisodeTitle,Rating,Comment,Date,sentiment,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1,0,na,N/A,fresh,Watching every Game of Thrones episode involves a completely empty schedule and dedicated binge-watching skills...,11-Aug-21,POSITIVE,1,15,89.52,40.06,19.26,1,15,53.33,86.67,53.33,33.33,0,0,0,0,0,0,0,0,13.33,6.67,0,6.67,0,6.67,6.67,0,0,13.33,13.33,13.33,0,6.67,6.67,13.33,6.67,6.67,0,0,0,0,6.67,0,0,6.67,0,6.67,0,0,0,0,0,0,0,6.67,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,13.33,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,20,6.67,0,6.67,13.33,0,0,6.67,0,0,0,0,0,0,0,0,26.67,20,0,0,0,0,6.67,0
1,0,na,N/A,fresh,"Its early seasons felt revolutionary for how they subverted audience expectations, it propelled much of the show's female-centric cast to stardom, and its VFX may very well be the best we've ever witnessed on TV.",28-Jul-21,POSITIVE,1,35,39.7,85.08,24.32,65.27,35,25.71,80,62.86,54.29,14.29,5.71,0,2.86,0,0,2.86,8.57,14.29,5.71,0,11.43,8.57,11.43,2.86,0,11.43,8.57,2.86,11.43,2.86,2.86,5.71,11.43,2.86,8.57,5.71,2.86,0,2.86,0,0,0,2.86,2.86,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,5.71,0,0,0,0,5.71,2.86,0,2.86,2.86,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,2.86,0,0,0,0,0,2.86,8.57,8.57,0,5.71,0,0,0,0,0,17.14,2.86,5.71,0,0,5.71,2.86,0
1,0,na,N/A,fresh,"With its shocking plot twists, dark themes and giant budget, Thrones became a phenomenon and a cultural touchpoint.",3-May-21,POSITIVE,1,18,89.52,40.06,1.17,20.23,18,27.78,77.78,50,33.33,5.56,0,0,0,0,0,0,5.56,16.67,11.11,0,5.56,0,0,11.11,0,5.56,11.11,5.56,5.56,0,0,5.56,5.56,0,5.56,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,5.56,0,5.56,0,0,0,5.56,0,0,0,0,0,0,0,16.67,5.56,11.11,0,0,0,0,0
1,0,na,N/A,fresh,[E]vents that feel bold and shocking based on what we've been trained to expect from television pop up regularly. ... [I]t means that we cannot trust what our instincts tell us about what television cannot or will not do.,3-Sep-20,POSITIVE,1,40,1.62,40.06,45.52,59.44,20,15,87.5,72.5,60,25,12.5,2.5,10,0,0,0,12.5,7.5,0,0,12.5,15,5,5,7.5,25,2.5,0,12.5,12.5,0,0,17.5,0,17.5,5,2.5,5,2.5,0,10,0,5,2.5,0,2.5,0,0,0,0,0,0,15,5,0,0,0,0,2.5,10,0,0,0,0,5,0,0,5,7.5,5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5,0,0,2.5,0,0,2.5,2.5,5,10,5,0,0,0,0,0,25,12.5,0,0,0,2.5,10,0
1,0,na,N/A,fresh,"[T]here is a deep and bitter socio-political study at the core of Game of Thrones, and quite a good one at that.",12-Feb-20,POSITIVE,1,23,94.33,40.06,4.38,20.23,23,8.7,91.3,69.57,60.87,4.35,0,0,0,0,0,0,4.35,21.74,13.04,4.35,17.39,4.35,8.7,8.7,0,4.35,8.7,4.35,4.35,0,0,4.35,4.35,0,4.35,0,0,0,4.35,0,0,0,8.7,4.35,4.35,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,8.7,4.35,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,8.7,0,0,8.7,0,0,0,0,0,4.35,0,0,0,0,0,0,21.74,4.35,4.35,0,0,0,13.04,0
1,0,na,N/A,rotten,"Maybe the series goes someplace more interesting eventually, but the pilot's lack of imagination, and lack of faith, bodes ill for a fantasy tale.",16-Sep-19,NEGATIVE,1,24,89.52,6.61,15.38,83,24,20.83,83.33,66.67,50,4.17,4.17,4.17,0,0,0,0,0,16.67,12.5,0,12.5,4.17,8.33,8.33,0,16.67,4.17,8.33,0,0,0,0,20.83,0,20.83,4.17,0,8.33,4.17,0,4.17,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,4.17,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,4.17,0,4.17,0,4.17,0,0,0,0,4.17,0,4.17,8.33,0,0,0,0,0,20.83,4.17,12.5,0,0,4.17,0,0
1,0,na,N/A,fresh,"if you replace the gladiators with a Lord of the Rings aesthetic, it's like a classier Spartacus: Gods of the Arena. And praise doesn't come any higher than that.",23-May-19,POSITIVE,1,29,93.52,22.04,43.66,74.09,14.5,17.24,75.86,68.97,58.62,10.34,3.45,0,0,3.45,0,0,6.9,24.14,17.24,0,17.24,6.9,0,10.34,3.45,13.79,3.45,0,6.9,0,3.45,3.45,10.34,0,10.34,0,0,0,6.9,0,6.9,0,3.45,3.45,0,0,0,0,0,0,0,0,6.9,3.45,3.45,0,0,0,3.45,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,6.9,0,3.45,6.9,0,0,0,0,0,6.9,0,0,0,0,0,0,20.69,6.9,3.45,0,0,6.9,3.45,0
1,0,na,N/A,fresh,What's striking now is how coherent the vision for such a sprawling tale was from its very beginning.,13-Mar-19,POSITIVE,1,18,33.38,40.06,96.01,20.23,18,22.22,88.89,66.67,66.67,11.11,0,0,0,0,0,0,11.11,22.22,11.11,0,11.11,16.67,16.67,0,0,16.67,0,0,0,0,0,0,11.11,0,11.11,11.11,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,11.11,0,0,5.56,5.56,0,0,11.11,5.56,16.67,0,0,0,0,0,0,11.11,5.56,0,0,0,5.56,0,0
1,0,na,N/A,fresh,Martin's saga goes to considerable lengths to create alternatives to the narratives of male growth.,7-Mar-19,POSITIVE,1,15,99,40.06,19.26,20.23,15,33.33,66.67,53.33,33.33,0,0,0,0,0,0,0,0,6.67,6.67,0,26.67,0,0,0,0,13.33,6.67,6.67,6.67,0,6.67,0,6.67,0,6.67,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,6.67,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,0,0,13.33,6.67,0,0,0,6.67,0,0
1,0,na,N/A,fresh,"As an über-fan of the books, this scratched most of my itches just perfectly. The casting is brilliant.",11-May-18,POSITIVE,1,18,89.52,13.82,1.17,99,9,27.78,88.89,72.22,66.67,11.11,5.56,5.56,0,0,0,0,5.56,33.33,16.67,0,16.67,5.56,11.11,5.56,0,5.56,11.11,5.56,5.56,0,5.56,0,5.56,0,5.56,0,0,0,0,5.56,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,5.56,0,0,0,0,0,0,22.22,11.11,5.56,0,0,0,5.56,0
1,0,na,N/A,fresh,"Game of Thrones may be epic in its scope and often disconcerting in its content, but it's a strong production that handily delivers what George R.R. Martin fans have been waiting for. Now bring on Season Two!",3-Mar-18,POSITIVE,1,38,36.67,25.84,70.28,92.27,12.67,18.42,81.58,68.42,52.63,13.16,0,0,0,0,0,0,13.16,13.16,2.63,2.63,13.16,13.16,5.26,5.26,0,18.42,5.26,2.63,5.26,0,0,5.26,7.89,0,7.89,0,0,0,5.26,0,2.63,0,5.26,5.26,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,7.89,7.89,0,2.63,5.26,0,0,0,10.53,2.63,5.26,2.63,5.26,5.26,0,0,0,15.79,7.89,2.63,0,2.63,2.63,0,0
